Census_yr,Block_ID,the_geom,CLUE_area,Estabs,Employment,Floor_sqm
2016,415,"MULTIPOLYGON (((144.94414707471603 -37.807151656659904, 144.9460149340721 -37.80796661777983, 144.94539865528915 -37.80853749586407, 144.94370206804953 -37.807793541053115, 144.94414707471603 -37.807151656659904)))",West Melbourne (Residential),2,4,12617
2016,412,"MULTIPOLYGON (((144.9427148259149 -37.80732381488938, 144.94284670798106 -37.80658785921211, 144.94414707471603 -37.807151656659904, 144.94370206804953 -37.807793541053115, 144.9427148259149 -37.80732381488938)))",West Melbourne (Residential),4,23,5795
2016,411,"MULTIPOLYGON (((144.94269796554164 -37.80741789935814, 144.9427148259149 -37.80732381488938, 144.94370206804953 -37.807793541053115, 144.94336690238254 -37.80827923656751, 144.94269796554164 -37.80741789935814)))",West Melbourne (Residential),0,0,2516
2016,410,"MULTIPOLYGON (((144.9427148259149 -37.80732381488938, 144.94269796554164 -37.80741789935814, 144.94175101160093 -37.80621177827184, 144.94176340369376 -37.80614226744421, 144.94284670798106 -37.80658785921211, 144.9427148259149 -37.80732381488938)))",West Melbourne (Residential),0,0,2562
2016,409,"MULTIPOLYGON (((144.94305250266584 -37.80543041395481, 144.94284670798106 -37.80658785921211, 144.94176340369376 -37.80614226744421, 144.94189031098406 -37.805430404341415, 144.94248833509016 -37.80537501425784, 144.94305250266584 -37.80543041395481)))",West Melbourne (Residential),5,16,19271
2016,414,"MULTIPOLYGON (((144.9448383320427 -37.80615481623095, 144.94696869637522 -37.807090994044316, 144.9460149340721 -37.80796661777983, 144.94414707471603 -37.807151656659904, 144.9448383320427 -37.80615481623095)))",West Melbourne (Residential),21,103,25469
2016,353,"MULTIPOLYGON (((144.95121992801504 -37.79661227173731, 144.95067478966422 -37.797042512072856, 144.95004162618022 -37.79754265377838, 144.9468817860043 -37.79501840675145, 144.9470536439377 -37.79404964732902, 144.94710801473602 -37.79392025528496, 144.9472935435854 -37.79347872804157, 144.9473722026332 -37.7935415070023, 144.9489000264969 -37.79476086467947, 144.9511827136962 -37.79658257308317, 144.95121992801504 -37.79661227173731)))",North Melbourne,17,187,64763
2016,301,"MULTIPOLYGON (((144.94539104571928 -37.792526631827904, 144.94228537636144 -37.79218496128193, 144.94249909046422 -37.79099015819642, 144.94251243664735 -37.790915545984696, 144.9432984795418 -37.79029461515793, 144.9433589426633 -37.79034279894942, 144.945573101245 -37.79210757519655, 144.94539104571928 -37.792526631827904)))",North Melbourne,5,10,27584
2016,318,"MULTIPOLYGON (((144.94471657568604 -37.796128663153745, 144.9446661459979 -37.79642131215338, 144.9445108164095 -37.79729034425823, 144.94435225384262 -37.79817744490916, 144.94385651342668 -37.79772121805202, 144.9428943271845 -37.796835703182666, 144.9417666876922 -37.79579788498212, 144.94471657568604 -37.796128663153745)))",North Melbourne,2,32,22975
2016,319,"MULTIPOLYGON (((144.94015002478574 -37.79558825116497, 144.94021739667824 -37.79560750171408, 144.94164154895006 -37.79578410871273, 144.9417318122404 -37.79579397354155, 144.9417666876922 -37.79579788498212, 144.9428943271845 -37.796835703182666, 144.94385651342668 -37.79772121805202, 144.943726985793 -37.79780983727317, 144.94288051330417 -37.79837867214419, 144.94217122522605 -37.797731863574235, 144.9417684138551 -37.79802555610158, 144.9415043509742 -37.79778350713932, 144.94135533050445 -37.797646909186895, 144.93998498628636 -37.79639749335931, 144.94015002478574 -37.79558825116497)))",North Melbourne,2,76,68979
2016,302,"MULTIPOLYGON (((144.94539104571928 -37.792526631827904, 144.94532768783884 -37.79267247046038, 144.9451715160238 -37.793563847586874, 144.9451481067534 -37.793697359307345, 144.94207624084063 -37.79335411963578, 144.94223031970137 -37.79249275384845, 144.94228537636144 -37.79218496128193, 144.94539104571928 -37.792526631827904)))",North Melbourne,2,53,33105
2016,305,"MULTIPOLYGON (((144.94494162906142 -37.79486654230963, 144.94186685846853 -37.79452462028143, 144.94196011311442 -37.7940033086495, 144.94207624084063 -37.79335411963578, 144.9451481067534 -37.793697359307345, 144.94494162906142 -37.79486654230963)))",North Melbourne,0,0,28600
2016,303,"MULTIPOLYGON (((144.945573101245 -37.79210757519655, 144.9472935435854 -37.79347872804157, 144.94710801473602 -37.79392025528496, 144.9451481067534 -37.793697359307345, 144.9451715160238 -37.793563847586874, 144.94532768783884 -37.79267247046038, 144.94539104571928 -37.792526631827904, 144.945573101245 -37.79210757519655)))",North Melbourne,4,22,14678
2016,304,"MULTIPOLYGON (((144.9468817860043 -37.79501840675145, 144.94687050274078 -37.79508200700176, 144.9459041538291 -37.79497406500841, 144.94494162906142 -37.79486654230963, 144.9451481067534 -37.793697359307345, 144.94710801473602 -37.79392025528496, 144.9470536439377 -37.79404964732902, 144.9468817860043 -37.79501840675145)))",North Melbourne,2,3,18804
2016,308,"MULTIPOLYGON (((144.94687050274078 -37.79508200700176, 144.94665679846662 -37.79627124078149, 144.94569106919707 -37.79616252366081, 144.9459041538291 -37.79497406500841, 144.94687050274078 -37.79508200700176)))",North Melbourne,0,0,6566
